student_id,university_type,major,gpa,programming_skills,framework_knowledge,system_design,problem_solving,communication,teamwork,learning_ability,leadership,work_experience,internship_count,project_count,certification_count,research_experience,competition_awards,responsibility,adaptability,innovation,overall_market_activity,industry_market_activity,technical_score,soft_skills_score,experience_score,personal_score,market_score,final_score,employment_level,employment_status,salary_range,employment_city,company_size,job_type
1,普通本科,网络工程,3.4895890096458575,82.7035264103007,77.06642660996536,71.17973552013063,53.860394258522625,82.60837473806646,84.6451291790279,75.4828028338586,49.959418625321206,2.2585975865274337,3,2,2,1,0,71.13881532981283,73.85025325089424,46.06252451518196,63.285891882365135,71.75287607761916,75.82332507698828,74.8063791497058,47.10317103832921,64.42935946174799,67.51938397999214,67.68133389511004,及格,已就业,8-12万,北京,小型企业(50-100人),产品经理
2,专科院校,人工智能,3.3741361132013625,100.0,30.0,74.22157564363891,56.5190238651753,88.52568325788442,79.49228609432355,78.99748543252711,61.79004568539223,2.01155015172832,1,4,3,0,2,37.15832665401091,90.19781292469936,61.595583736835955,93.14912856269811,71.34152817689345,69.49621751524532,78.53815699615643,42.13860182073983,60.40134966006496,82.24532836979577,70.11620952809882,中等,继续深造,12-18万,北京,小型企业(50-100人),软件开发工程师
3,985高校,信息管理与信息系统,2.60902857453624,68.48278931175528,76.08705075303627,53.409068201472486,70.48704986061963,56.02576659169399,99.63419199644309,81.72543878715824,43.63523257145313,3.892371715204326,3,3,0,0,1,51.84288187166375,89.22617696887869,76.76889326748092,84.72850108030593,83.06837892889187,67.94974957696945,70.87468418769915,64.70846058245192,70.53567381957339,83.89844000459891,73.09174270248698,中等,已就业,12-18万,上海,小型企业(50-100人),产品经理
4,普通本科,信息安全,3.6177471389603806,52.264344923981355,100.0,30.0,53.60317375327626,64.4538801423482,59.82716936499941,94.9969636189819,58.69083842500018,1.8822884701205045,0,5,2,0,1,72.63695512014044,78.37207020835254,87.36428942171561,71.07364615244376,80.43942358066701,62.26605534492017,69.78036497369982,36.587461641446055,78.77568993707662,75.75653486655538,65.6152355308612,及格,待就业,8-12万,南京,小型企业(50-100人),算法工程师
5,普通本科,计算机科学与技术,2.6009079836988325,76.08545266486196,38.62215366594293,75.59718356005071,75.3496761921271,100.0,85.79050165171641,96.9876920075769,74.66927673399486,0.21939422800117558,2,4,2,0,1,74.86502173481963,67.86302359464722,51.4092562215411,80.90092801125404,88.63167812719321,64.67523149695052,90.6284037616223,22.632730736014107,65.72769263878435,84.76630306922362,69.69205842160972,及格,已就业,8-12万,北京,初创公司(50人以下),软件开发工程师
6,专科院校,信息安全,3.714610895616947,78.21815017435446,69.19162008980298,62.81255547645589,54.06866249319639,78.10908848752047,89.32418382882305,78.52656338698021,77.44818535747379,2.76628009742874,2,3,0,1,0,98.83076115364551,37.33693373507869,52.993265474352306,69.03633422904583,88.53461745708857,70.01412344129349,80.8850504217017,47.19536116914489,66.63136422428751,78.7854758430672,71.05862429538436,中等,继续深造,12-18万,北京,小型企业(50-100人),软件开发工程师
7,985高校,人工智能,3.543931663593509,85.82293544185787,40.793269348980715,69.20361658564532,73.83781719889222,49.24803944635755,80.75513951520573,67.73523728614262,50.358022788172896,1.5237245479028085,3,0,2,0,1,85.30822326866543,81.76018364408871,56.084221814896985,81.48315039189755,74.84892002795544,67.79166001845564,61.96861059187893,34.28469457483371,75.47661094516188,78.16603520992649,65.48181296670889,及格,待就业,8-12万,深圳,大型企业(500人以上),产品经理
8,985高校,人工智能,3.409832761299035,76.60973871992941,56.58787841792234,63.58089444815259,52.739318319098295,49.331363232973686,49.896589717329604,90.43960938252137,72.4893028353133,0.767852725240052,1,3,2,1,0,82.04600009191813,85.05117693920694,77.76194347976573,65.40173484953402,64.43448220289278,65.61036973488882,64.38131931191751,23.214232702880622,81.66233616245904,64.9181085262134,60.40265737564772,及格,待就业,8-12万,成都,中型企业(100-500人),软件开发工程师
9,普通本科,计算机科学与技术,3.011502420416482,86.32678865958839,41.05334717769544,68.51753370540318,52.802266347621405,73.8751304818311,86.23309776965314,95.97872323029115,69.40809514191979,2.5338727376780934,2,3,1,0,1,68.97497169256141,72.84943214357315,56.680539497583034,78.86646139715955,67.0788816852415,65.83045299298676,81.59711342291936,46.40647285213713,66.44898016937142,72.97267154120053,68.27470633994844,及格,已就业,8-12万,深圳,中型企业(100-500人),前端开发工程师
10,211高校,软件工程,3.487889891333227,100.0,72.39313490495826,76.05678941283882,34.56653260239712,67.15444699008927,69.0401675540864,82.98773555885262,56.390933747942626,2.301824415738015,2,4,1,0,0,100.0,100.0,50.05671092872463,73.07872166702163,69.71037745529756,80.38595161429495,69.43149662485006,45.621892988856175,85.01701327861738,71.3945495611596,70.7461373730818,中等,待就业,12-18万,北京,中型企业(100-500人),测试工程师
